Signal,emav,dasdv,fzc,vare,Movmnt
1,0.734223197,1.342523706,832,1.227554544,Cyl
2,0.76364533,1.453078293,901,1.128552241,Cyl
3,0.69158151,1.327400376,502,0.847634249,Cyl
4,0.659271256,1.139316751,860,0.699779798,Cyl
5,0.71168623,1.319307511,555,0.99987085,Cyl
6,0.776652483,1.511827674,997,1.09120237,Cyl
7,0.664521316,1.158785417,1179,0.658277645,Cyl
8,0.625331816,1.002557675,444,0.546196412,Cyl
9,0.67137237,1.143308641,995,0.655675924,Cyl
10,0.674771826,1.193929338,456,0.70694815,Cyl
11,0.695253778,1.279071578,288,0.75677491,Cyl
12,0.645316952,1.033397492,566,0.538099832,Cyl
13,0.621002877,0.98851517,1102,0.509163325,Cyl
14,0.694552194,1.223909219,1148,0.725791302,Cyl
15,0.755658943,1.464917248,906,1.003836665,Cyl
16,0.698417511,1.290759276,842,0.764339512,Cyl
17,0.667157481,1.136525503,798,0.627985869,Cyl
18,0.625549962,1.022083986,132,0.547045597,Cyl
19,0.685795788,1.221076973,1084,0.763368676,Cyl
20,0.675094855,1.247618236,1230,0.72664959,Cyl
21,0.732813918,1.414555625,648,0.87259247,Cyl
22,0.670669908,1.254309143,614,0.71218719,Cyl
23,0.711091123,1.544091891,944,1.058628439,Cyl
24,0.809468182,1.562620881,708,1.185531724,Cyl
25,0.697199191,1.405118889,344,0.907029257,Cyl
26,0.681369832,1.279729118,914,0.808289947,Cyl
27,0.649833059,1.19956778,448,0.675435664,Cyl
28,0.647748467,1.156605286,288,0.636237398,Cyl
29,0.669173665,1.215567618,514,0.741519563,Cyl
30,0.601816788,0.977145733,472,0.466607615,Cyl
31,0.53940475,0.935813389,384,0.443480043,Cyl
32,0.580358993,1.095816264,338,0.547165364,Cyl
33,0.549401638,0.986051535,588,0.453929953,Cyl
34,0.599236236,1.111187549,585,0.561926999,Cyl
35,0.620297785,1.125635705,887,0.569978414,Cyl
36,0.570249689,0.919929257,748,0.396120351,Cyl
37,0.570731318,0.924189238,1139,0.416969918,Cyl
38,0.616581913,1.233147169,634,0.701486055,Cyl
39,0.679438899,1.310482029,784,0.813863482,Cyl
40,0.645216263,1.186047764,451,0.668918402,Cyl
41,0.632700823,1.114628097,416,0.59834474,Cyl
42,0.590930661,0.97706086,524,0.495148213,Cyl
43,0.633514864,1.097696859,860,0.594460251,Cyl
44,0.632334279,1.305758328,944,0.755453103,Cyl
45,0.606292021,1.149893424,832,0.607925532,Cyl
46,0.590372368,1.002510068,613,0.493207149,Cyl
47,0.584024327,0.95364329,202,0.452385511,Cyl
48,0.583574097,0.96728899,538,0.46838179,Cyl
49,0.610808236,1.154672599,572,0.638628334,Cyl
50,0.576438607,1.03187715,920,0.522233162,Cyl
51,0.585278189,1.039228817,1177,0.521242589,Cyl
52,0.572404368,0.980387088,382,0.468697636,Cyl
53,0.623520705,1.206157115,782,0.732883041,Cyl
54,0.584323655,0.968240453,617,0.501236456,Cyl
55,0.574228177,0.967516165,1070,0.442899227,Cyl
56,0.546319709,0.923972195,576,0.424643896,Cyl
57,0.552924218,0.918114433,1067,0.434319348,Cyl
58,0.600220889,1.056512216,758,0.534030845,Cyl
59,0.583051227,1.09859907,636,0.560974916,Cyl
60,0.561094258,0.948426106,538,0.438045432,Cyl
61,0.581139389,0.947091694,704,0.433851539,Cyl
62,0.549851041,0.868763663,284,0.423517516,Cyl
63,0.577529509,0.992738349,648,0.480944817,Cyl
64,0.62579347,1.058658596,394,0.597654375,Cyl
65,0.588903114,0.963148287,522,0.479574126,Cyl
66,0.573809993,0.949501196,513,0.466455345,Cyl
67,0.596669262,1.038825492,1151,0.557495116,Cyl
68,0.582471512,1.00034203,874,0.506283375,Cyl
69,0.545606651,0.871105827,516,0.405297137,Cyl
70,0.536894187,0.897943724,536,0.416303419,Cyl
71,0.651461127,1.331564722,522,0.836183753,Cyl
72,0.573393283,0.929743963,842,0.475940315,Cyl
73,0.588337155,1.028577838,342,0.537101265,Cyl
74,0.574075764,0.991457706,728,0.476819631,Cyl
75,0.599880277,1.048386295,988,0.538487438,Cyl
76,0.619931073,1.04396709,798,0.548043403,Cyl
77,0.585860236,0.954854045,1178,0.478210472,Cyl
78,0.57906289,1.036490871,609,0.547112556,Cyl
79,0.644792338,1.183236726,705,0.67884656,Cyl
80,0.558834758,0.926098153,342,0.45673263,Cyl
81,0.635617655,1.119005876,1234,0.610360156,Cyl
82,0.675859446,1.273966712,678,0.762784804,Cyl
83,0.589729814,1.007977144,921,0.526516802,Cyl
84,0.609233585,1.089762866,980,0.592881272,Cyl
85,0.675351393,1.291571451,770,0.788262942,Cyl
86,0.670023409,1.25247493,1016,0.7739012,Cyl
87,0.656192315,1.175217126,498,0.677332014,Cyl
88,0.562205237,0.973674361,408,0.455616579,Cyl
89,0.607652608,1.092154682,1131,0.570903042,Cyl
90,0.597785805,1.013351366,748,0.485749753,Cyl
91,0.620196381,1.178935555,734,0.716694437,Cyl
92,0.682076807,1.200811538,814,0.734161566,Cyl
93,0.649171615,1.189386267,584,0.700845719,Cyl
94,0.539164195,0.822503764,422,0.349913561,Cyl
95,0.751426937,1.49512438,1025,1.145910071,Cyl
96,0.692737959,1.253152631,740,0.783237559,Cyl
97,0.719806413,1.362112656,588,0.838588414,Cyl
98,0.76214282,1.518682467,432,1.150909932,Cyl
99,0.767920831,1.519061912,800,1.057419695,Cyl
100,0.750097207,1.504719954,1204,1.080707915,Cyl
101,0.646989431,1.090773501,819,0.615859085,hook
102,0.64500492,1.063054658,824,0.604636737,hook
103,0.608742967,0.949108816,558,0.512535245,hook
104,0.65323456,1.050786768,554,0.628412029,hook
105,0.562024172,0.797654259,610,0.385698797,hook
106,0.69319072,1.145576818,600,0.749493624,hook
107,0.57130962,0.836289893,450,0.43345331,hook
108,0.534370105,0.70815673,521,0.313767575,hook
109,0.570234439,0.852654864,636,0.428118547,hook
110,0.511091997,0.692442661,354,0.288280964,hook
111,0.656484104,1.052011366,1078,0.605244835,hook
112,0.652536462,1.069739883,678,0.615374847,hook
113,0.613066748,1.043965837,685,0.593096022,hook
114,0.605844003,0.951779617,652,0.540803307,hook
115,0.677420925,1.131547192,474,0.708185687,hook
116,0.61377487,0.991507323,554,0.560352127,hook
117,0.601978691,0.934248384,631,0.499446633,hook
118,0.571217318,0.926598401,554,0.480527839,hook
119,0.517715454,0.737569374,526,0.338959824,hook
120,0.583895598,0.887253304,621,0.450170813,hook
121,0.559065859,0.847301334,497,0.427626849,hook
122,0.554316483,0.828086108,592,0.40661887,hook
123,0.566493251,0.810459344,915,0.401890517,hook
124,0.484864895,0.639481195,478,0.267000805,hook
125,0.580882091,0.863437007,668,0.450291825,hook
126,0.525283827,0.751382608,439,0.331233531,hook
127,0.557379071,0.805884551,488,0.40805995,hook
128,0.532499056,0.789354703,517,0.365148233,hook
129,0.598793695,0.917421134,536,0.499120731,hook
130,0.578736503,0.895197718,685,0.477254195,hook
131,0.538244001,0.740525758,514,0.33292036,hook
132,0.55298363,0.802716302,586,0.389972293,hook
133,0.504289344,0.684844092,444,0.310268119,hook
134,0.512715876,0.685959499,274,0.305174534,hook
135,0.539865362,0.761791756,462,0.368622902,hook
136,0.487458974,0.631541775,406,0.267084587,hook
137,0.48006058,0.618052092,378,0.250891892,hook
138,0.432875226,0.503133833,238,0.181900045,hook
139,0.502015846,0.657712165,456,0.287028688,hook
140,0.570622834,0.836393866,645,0.407621162,hook
141,0.494006833,0.64250841,504,0.267710722,hook
142,0.467453711,0.589713831,322,0.223507442,hook
143,0.412443336,0.429276477,144,0.136334642,hook
144,0.504902596,0.678509643,414,0.286948247,hook
145,0.470911236,0.609017958,322,0.240888818,hook
146,0.501840941,0.678504047,196,0.298703899,hook
147,0.489344595,0.63732311,342,0.264273964,hook
148,0.483667627,0.625289702,238,0.262313314,hook
149,0.500215239,0.64023104,356,0.265105963,hook
150,0.503416659,0.63429449,538,0.257525893,hook
151,0.540902412,0.78132056,496,0.353241258,hook
152,0.558673768,0.818994021,738,0.397599965,hook
153,0.472676834,0.592094716,272,0.231621773,hook
154,0.50039376,0.68746795,352,0.284003146,hook
155,0.492900989,0.698028206,404,0.291594543,hook
156,0.472508615,0.618565674,462,0.240398433,hook
157,0.501335624,0.686129585,387,0.292224902,hook
158,0.576096918,0.892795423,627,0.458238507,hook
159,0.474616308,0.637667164,498,0.257840728,hook
160,0.576093815,0.998965531,400,0.524171625,hook
161,0.520097646,0.729363232,355,0.345111156,hook
162,0.501210431,0.678883539,392,0.28327705,hook
163,0.531172568,0.77620336,290,0.377371977,hook
164,0.522817887,0.752594986,278,0.338175862,hook
165,0.481190128,0.625757136,426,0.258171981,hook
166,0.489989038,0.646229152,436,0.281891761,hook
167,0.572901372,0.9050793,588,0.479176913,hook
168,0.516094748,0.760735494,440,0.346009968,hook
169,0.470378664,0.570602156,721,0.223147563,hook
170,0.515036945,0.757763545,536,0.363267228,hook
171,0.477539112,0.641925585,444,0.251763864,hook
172,0.500435422,0.680917393,374,0.308659378,hook
173,0.501196383,0.64779512,200,0.277048776,hook
174,0.368301596,0.358207677,142,0.097746129,hook
175,0.54352994,0.828446289,508,0.427803293,hook
176,0.499262063,0.691387762,368,0.302723563,hook
177,0.464563344,0.573307458,274,0.210444852,hook
178,0.648700852,1.179787498,665,0.793827874,hook
179,0.585755826,0.892721399,504,0.48542961,hook
180,0.506937889,0.833527702,360,0.414804878,hook
181,0.527512792,0.767631576,522,0.358001711,hook
182,0.45232474,0.549271358,288,0.203186219,hook
183,0.510098618,0.693020245,296,0.313611537,hook
184,0.425424447,0.509273559,244,0.173263683,hook
185,0.454610424,0.550804768,432,0.202880193,hook
186,0.503233131,0.680208875,350,0.294352683,hook
187,0.521356801,0.712144804,522,0.315073948,hook
188,0.555880788,0.81294364,525,0.411467504,hook
189,0.428393863,0.511988386,265,0.189855198,hook
190,0.545752455,0.797590227,425,0.398191689,hook
191,0.494915249,0.671890367,479,0.281595919,hook
192,0.472590444,0.653376903,216,0.267518369,hook
193,0.459117015,0.557893072,342,0.213608776,hook
194,0.490790202,0.643675383,462,0.266009779,hook
195,0.470799563,0.605607938,338,0.237478822,hook
196,0.465816051,0.579087515,294,0.226882862,hook
197,0.482857812,0.653173416,268,0.289661554,hook
198,0.476509156,0.586737203,446,0.226753462,hook
199,0.482189396,0.662979785,410,0.273608332,hook
200,0.49049501,0.662963061,422,0.273277099,hook
201,0.517697134,0.789469977,532,0.289716258,lat
202,0.553003723,0.910136114,807,0.361943774,lat
203,0.617421531,1.034098079,1004,0.469471193,lat
204,0.567308256,0.908486356,924,0.369596601,lat
205,0.553315916,0.913501045,678,0.370410711,lat
206,0.503600875,0.731574761,428,0.259104559,lat
207,0.4618557,0.612291427,582,0.190770306,lat
208,0.456276446,0.591462717,619,0.17844108,lat
209,0.42557451,0.510878533,334,0.142858394,lat
210,0.453961872,0.598604437,628,0.182623957,lat
211,0.50500903,0.752831408,570,0.268250203,lat
212,0.478761624,0.67313881,498,0.221514387,lat
213,0.546913497,0.907321875,1065,0.347183943,lat
214,0.518978681,0.843374487,642,0.302682854,lat
215,0.502799907,0.747534502,420,0.260710529,lat
216,0.615836037,1.114003303,1079,0.513506546,lat
217,0.587827601,1.0035018,648,0.426166935,lat
218,0.511379227,0.83308352,411,0.307159038,lat
219,0.529335364,0.880636023,438,0.330690883,lat
220,0.466906936,0.671577494,320,0.211860051,lat
221,0.50082858,0.775079185,204,0.266998636,lat
222,0.474296555,0.674325387,470,0.21059029,lat
223,0.49252464,0.740737504,406,0.247376062,lat
224,0.516061111,0.803122831,345,0.305457534,lat
225,0.497867181,0.755250687,892,0.253948361,lat
226,0.60054895,0.949694632,230,0.429388633,lat
227,0.568657449,0.93433686,490,0.389426481,lat
228,0.464387644,0.624102647,338,0.203214493,lat
229,0.493684442,0.704100353,356,0.239506166,lat
230,0.527306472,0.796184473,416,0.295328721,lat
231,0.50153459,0.735151765,464,0.249819488,lat
232,0.46343621,0.639349331,318,0.196207793,lat
233,0.481393832,0.713470099,686,0.236893261,lat
234,0.505164458,0.810360605,506,0.284744736,lat
235,0.605800281,1.022866741,550,0.453134622,lat
236,0.524611286,0.794737243,884,0.29796787,lat
237,0.601310493,1.067780612,514,0.482426118,lat
238,0.566648198,0.964349662,732,0.403963789,lat
239,0.615655484,1.037058765,1243,0.482039334,lat
240,0.579687215,0.926556868,470,0.387388927,lat
241,0.611446527,1.076579611,790,0.490640885,lat
242,0.55524573,0.86511098,651,0.352493763,lat
243,0.578452589,1.00946077,418,0.429009758,lat
244,0.597846866,1.056811204,680,0.478161451,lat
245,0.563192548,0.912647223,454,0.364887854,lat
246,0.500271756,0.707347947,578,0.244233631,lat
247,0.550433655,0.869053791,840,0.350433763,lat
248,0.512182206,0.769745642,442,0.278388541,lat
249,0.538218021,0.863291541,785,0.329699344,lat
250,0.578248684,0.941842756,240,0.399489549,lat
251,0.612833423,1.11496823,324,0.501848718,lat
252,0.5989869,1.027265808,788,0.453796807,lat
253,0.505263158,0.754737525,704,0.25692578,lat
254,0.527001232,0.812734798,603,0.300911349,lat
255,0.607437973,1.060090408,850,0.484495453,lat
256,0.531444201,0.829045594,604,0.31387314,lat
257,0.544196447,0.868649128,965,0.340401472,lat
258,0.533430949,0.866184179,645,0.336649959,lat
259,0.489206662,0.73149785,690,0.244089494,lat
260,0.50573597,0.784514069,767,0.280207516,lat
261,0.476829541,0.720570659,406,0.234334966,lat
262,0.561109814,0.969009699,710,0.402713507,lat
263,0.512116,0.842714706,688,0.311623377,lat
264,0.470595936,0.741909269,531,0.240947139,lat
265,0.475072583,0.766005742,504,0.243476094,lat
266,0.479754701,0.767469601,608,0.251242383,lat
267,0.543792304,0.914593988,856,0.35304647,lat
268,0.580074194,0.991904939,886,0.418414127,lat
269,0.494002727,0.732234599,558,0.250013799,lat
270,0.511711041,0.733532492,400,0.264736894,lat
271,0.51270353,0.762077434,374,0.282283779,lat
272,0.539954715,0.867207536,790,0.338853598,lat
273,0.56345303,0.901950668,1012,0.370481596,lat
274,0.537297687,0.823381828,416,0.318698475,lat
275,0.546072183,0.889969699,522,0.358125486,lat
276,0.532578129,0.773733312,192,0.291599574,lat
277,0.555606548,0.898253361,510,0.358612914,lat
278,0.575129828,0.999130871,844,0.427828543,lat
279,0.55337946,0.940531376,748,0.379582137,lat
280,0.556296279,0.985270439,724,0.409904514,lat
281,0.500167693,0.788029114,655,0.267887437,lat
282,0.591744785,1.01138157,794,0.442436259,lat
283,0.60763403,1.073495598,984,0.498001895,lat
284,0.59198018,1.025949922,1190,0.436367124,lat
285,0.542195824,0.902306304,744,0.34888365,lat
286,0.454017875,0.642953781,506,0.186855564,lat
287,0.575045579,0.991118732,564,0.420907608,lat
288,0.517961381,0.84339658,638,0.308561071,lat
289,0.482897554,0.743338771,522,0.24254002,lat
290,0.506980552,0.831623782,728,0.280113661,lat
291,0.548500125,0.921219035,632,0.364712339,lat
292,0.458614012,0.651457511,714,0.197264328,lat
293,0.471659141,0.682468682,212,0.216716694,lat
294,0.565773124,0.93783598,506,0.389449402,lat
295,0.49277523,0.76294152,381,0.261577331,lat
296,0.475852101,0.72420524,420,0.237751619,lat
297,0.437048261,0.556788477,322,0.157707663,lat
298,0.528825458,0.820823195,558,0.308422023,lat
299,0.428242145,0.543564647,258,0.148247311,lat
300,0.46787291,0.644194485,418,0.19958465,lat
301,0.515619872,0.685545763,250,0.279815893,palm
302,0.46886271,0.551937295,226,0.192747906,palm
303,0.462408437,0.561162311,476,0.199945337,palm
304,0.480951015,0.601882659,358,0.212705917,palm
305,0.501218344,0.639286634,200,0.248924557,palm
306,0.446739134,0.662791308,346,0.221049629,palm
307,0.374242971,0.482508688,150,0.114839016,palm
308,0.412037408,0.524108527,210,0.141428353,palm
309,0.391412977,0.505146204,128,0.134652273,palm
310,0.387383213,0.477532251,84,0.125744806,palm
311,0.405659008,0.510864871,94,0.146853305,palm
312,0.389586218,0.483252604,150,0.129907539,palm
313,0.404919897,0.543293423,114,0.15195753,palm
314,0.396429258,0.487452248,148,0.127981152,palm
315,0.398656539,0.486467857,250,0.1387433,palm
316,0.466419931,0.589380841,504,0.208963208,palm
317,0.41384972,0.508300002,258,0.14946129,palm
318,0.400018801,0.422063931,302,0.116778398,palm
319,0.430952695,0.548367854,198,0.165295021,palm
320,0.429737194,0.546715702,286,0.165230826,palm
321,0.400308911,0.430293138,82,0.118193675,palm
322,0.426023929,0.474540119,226,0.140715469,palm
323,0.449564222,0.521096832,164,0.170316693,palm
324,0.451508518,0.608374012,664,0.201212738,palm
325,0.453478066,0.57127962,448,0.182501708,palm
326,0.426137115,0.476573753,134,0.143430764,palm
327,0.386840956,0.387062425,132,0.103104604,palm
328,0.412430109,0.532807782,253,0.168794941,palm
329,0.446503702,0.544881125,290,0.174591705,palm
330,0.43519711,0.505895568,412,0.160990696,palm
331,0.426392154,0.492742775,190,0.145974558,palm
332,0.447480032,0.57852464,448,0.180464393,palm
333,0.439891473,0.534984921,256,0.178804628,palm
334,0.452191742,0.534132064,249,0.1785626,palm
335,0.470422711,0.656027162,366,0.227567226,palm
336,0.44889672,0.585205623,374,0.193098361,palm
337,0.450253615,0.620342836,214,0.202264765,palm
338,0.406580282,0.475437963,170,0.144824776,palm
339,0.488219489,0.694212844,584,0.25552731,palm
340,0.431798851,0.500366089,184,0.155729227,palm
341,0.450417933,0.551065204,484,0.187733617,palm
342,0.443993643,0.533270816,468,0.169695422,palm
343,0.417564493,0.491948595,280,0.14787433,palm
344,0.440562561,0.544286155,302,0.175587412,palm
345,0.45076982,0.580304335,278,0.186093348,palm
346,0.401776145,0.426674756,190,0.124998078,palm
347,0.399201423,0.45763455,92,0.131248833,palm
348,0.406968965,0.469812399,94,0.135643035,palm
349,0.404139869,0.487500301,306,0.140743835,palm
350,0.445320242,0.540098634,290,0.187073953,palm
351,0.442569871,0.541074058,358,0.168594247,palm
352,0.411341367,0.471611792,206,0.138097461,palm
353,0.434438883,0.517258323,338,0.160580729,palm
354,0.392602905,0.44605418,405,0.124435247,palm
355,0.453201093,0.600418883,488,0.202320641,palm
356,0.438179684,0.557781637,209,0.186927364,palm
357,0.453076439,0.564977794,366,0.178114579,palm
358,0.4497181,0.544502853,68,0.168778365,palm
359,0.412755587,0.49115075,238,0.149671989,palm
360,0.410559658,0.455349494,240,0.133138488,palm
361,0.40050119,0.425118289,330,0.119012968,palm
362,0.362702758,0.396038891,112,0.100324672,palm
363,0.382131599,0.414943787,246,0.112700206,palm
364,0.394421866,0.459251157,206,0.124875656,palm
365,0.383179372,0.432419938,176,0.121265113,palm
366,0.396328528,0.492464227,192,0.14069886,palm
367,0.381101983,0.383147006,170,0.101923221,palm
368,0.355097471,0.313060973,62,0.079098501,palm
369,0.392664544,0.421815289,168,0.111335599,palm
370,0.367529645,0.365482136,146,0.092479863,palm
371,0.35352688,0.307551257,134,0.076084862,palm
372,0.411200684,0.48878761,122,0.141776894,palm
373,0.397020087,0.446076108,322,0.123068097,palm
374,0.361266694,0.369626279,174,0.094710082,palm
375,0.401525387,0.494144839,318,0.138946035,palm
376,0.39556964,0.428189833,108,0.116093273,palm
377,0.409391182,0.480648815,308,0.136496285,palm
378,0.463780701,0.622731819,332,0.211524739,palm
379,0.468539673,0.682465045,542,0.228132993,palm
380,0.488720244,0.680110176,496,0.239035566,palm
381,0.434820261,0.566269645,394,0.173408989,palm
382,0.44114825,0.596341356,346,0.181346341,palm
383,0.433469431,0.56878825,423,0.171136511,palm
384,0.447659073,0.549170361,432,0.169179129,palm
385,0.441258471,0.600559269,332,0.188210537,palm
386,0.436640296,0.559199677,364,0.165014798,palm
387,0.452455669,0.570298426,174,0.171167952,palm
388,0.485416864,0.674261709,896,0.22537585,palm
389,0.438949984,0.581025229,644,0.17568323,palm
390,0.414474604,0.529552228,40,0.149539725,palm
391,0.393599052,0.440336886,92,0.117619826,palm
392,0.430579274,0.521086573,144,0.156260888,palm
393,0.408256604,0.456759266,197,0.129674395,palm
394,0.448183266,0.629309783,171,0.197242036,palm
395,0.450355267,0.662196414,526,0.228823382,palm
396,0.447570144,0.607444626,586,0.192671494,palm
397,0.403568408,0.462168154,360,0.128454089,palm
398,0.44033895,0.539709362,805,0.164006639,palm
399,0.388393127,0.436687505,64,0.119855542,palm
400,0.36670555,0.351901031,82,0.0874093,palm
401,0.666216638,1.332084192,858,0.790515285,spher
402,0.663607505,1.239362827,942,0.708884444,spher
403,0.659120688,1.173788511,1116,0.669509634,spher
404,0.67639223,1.275200616,913,0.739772654,spher
405,0.652297715,1.238701012,747,0.697384301,spher
406,0.644960941,1.219728431,1145,0.680569763,spher
407,0.642555512,1.179384046,1128,0.640114488,spher
408,0.656532674,1.150973063,900,0.638615738,spher
409,0.56279975,0.9640247,654,0.472449794,spher
410,0.796341373,1.590528662,1215,1.230925727,spher
411,0.692208772,1.327656451,569,0.836105687,spher
412,0.739750037,1.478578374,772,0.984039046,spher
413,0.753294342,1.487086293,700,0.992632384,spher
414,0.706860365,1.417267244,794,0.930230946,spher
415,0.728836487,1.407637588,1036,0.922662806,spher
416,0.672886758,1.246700168,892,0.74522791,spher
417,0.67779021,1.253207356,1053,0.750330276,spher
418,0.68069432,1.262592887,843,0.748908554,spher
419,0.629573417,1.194487198,799,0.680677784,spher
420,0.691525264,1.279877944,864,0.822916249,spher
421,0.673311689,1.289260389,688,0.779468772,spher
422,0.767005925,1.432168746,863,0.993542953,spher
423,0.698236552,1.302489604,931,0.819908849,spher
424,0.726422321,1.574967366,1148,1.126422712,spher
425,0.753005646,1.542128999,856,1.0772206,spher
426,0.698392061,1.46334323,736,1.000201301,spher
427,0.712193167,1.425995361,804,0.911070411,spher
428,0.711276282,1.413545508,831,0.930167428,spher
429,0.762675325,1.683493942,881,1.303032663,spher
430,0.687321528,1.276759484,706,0.837614413,spher
431,0.696728091,1.410540186,656,0.926340713,spher
432,0.67146804,1.247499664,723,0.742229914,spher
433,0.728538857,1.417213903,780,0.962247116,spher
434,0.785772858,1.553884297,1255,1.120025739,spher
435,0.733470619,1.403839572,846,0.920302879,spher
436,0.75990179,1.438053071,946,1.001357666,spher
437,0.74667096,1.373722429,1114,0.970989688,spher
438,0.758095099,1.408877577,1166,0.953870164,spher
439,0.727252293,1.436883531,736,0.934179149,spher
440,0.73624848,1.425081891,620,0.912887516,spher
441,0.806729508,1.576241738,882,1.177632562,spher
442,0.757801526,1.519318012,952,1.090447957,spher
443,0.757547899,1.568496152,760,1.136288133,spher
444,0.771608818,1.540125567,824,1.156464138,spher
445,0.716650032,1.465710996,692,0.956283928,spher
446,0.757207551,1.423732404,696,1.049645381,spher
447,0.786093897,1.442556947,982,1.040669017,spher
448,0.751499969,1.302919828,1135,0.864775376,spher
449,0.74294671,1.348584816,1004,0.909005549,spher
450,0.832542857,1.473804343,838,1.235787974,spher
451,0.76493316,1.380020357,1032,1.000603326,spher
452,0.765909665,1.39685113,746,1.041736197,spher
453,0.668835062,1.265193519,909,0.787931879,spher
454,0.824676548,1.584152315,580,1.372327766,spher
455,0.773309284,1.416518099,1110,1.037439533,spher
